id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
2689,2009-05-14,"Everglades National Park, Monroe County, US-FL, US",25.1771881744,-80.9226530925,Monroe,Florida,Crocodylus acutus,American Crocodile
10850,2011-01-30,"Everglades National Park, Monroe County, US-FL, US",25.1182104534,-80.9449057306,Monroe,Florida,Crocodylus acutus,American Crocodile
36379,2008-02-14,"Everglades National Park, Monroe County, US-FL, US",25.0317700527,-80.9868561658,Monroe,Florida,Crocodylus acutus,American Crocodile
39958,2008-04-08,"Everglades National Park, Monroe County, US-FL, US",25.0522603323,-80.8554828135,Monroe,Florida,Crocodylus acutus,American Crocodile
39959,2008-04-08,"Everglades National Park, Monroe County, US-FL, US",25.1638059528,-80.8256252734,Monroe,Florida,Crocodylus acutus,American Crocodile
39960,2008-04-08,"Everglades National Park, Monroe County, US-FL, US",25.1856871151,-80.8247837253,Monroe,Florida,Crocodylus acutus,American Crocodile
45062,2011-12-20,"Everglades National Park, Monroe County, US-FL, US",25.061636937,-80.9074374429,Monroe,Florida,Crocodylus acutus,American Crocodile
126663,2010-11-12,"Everglades National Park, Monroe County, US-FL, US",25.0088091396,-80.8260455448,Monroe,Florida,Crocodylus acutus,American Crocodile
134566,2008-11-01,"Everglades National Park, Monroe County, US-FL, US",25.099282133,-80.9598881992,Monroe,Florida,Crocodylus acutus,American Crocodile
153883,2012-11-27,"Florida, US",25.2108557783,-80.8690344736,Monroe,Florida,Crocodylus acutus,American Crocodile
169112,2012-12-27,"Everglades National Park, Monroe County, US-FL, US",25.0708980369,-80.9133546217,Monroe,Florida,Crocodylus acutus,American Crocodile
228953,2013-03-24,"Everglades National Park, Monroe County, US-FL, US",25.1245278819,-80.9686111339,Monroe,Florida,Crocodylus acutus,American Crocodile
244441,2013-04-11,"Everglades National Park, Monroe County, US-FL, US",25.0815408078,-80.8382334459,Monroe,Florida,Crocodylus acutus,American Crocodile
245262,2013-04-12,"Everglades National Park, Monroe County, US-FL, US",25.1251078639,-80.8579857389,Monroe,Florida,Crocodylus acutus,American Crocodile
343960,2013-07-19,"Florida, US",25.2311029127,-80.9907209236,Monroe,Florida,Crocodylus acutus,American Crocodile
355466,2008-01-03,"Everglades National Park, Monroe County, US-FL, US",25.1560791534,-80.8947314167,Monroe,Florida,Crocodylus acutus,American Crocodile
421594,2004-02-21,"Everglades National Park, Monroe County, US-FL, US",25.1994347429,-80.995105033,Monroe,Florida,Crocodylus acutus,American Crocodile
443351,2013-10-26,"Florida, US",25.2907958359,-80.8577001779,Monroe,Florida,Crocodylus acutus,American Crocodile
446940,2013-11-03,United States,25.6204995538,-80.371148366,Miami-Dade,Florida,Crocodylus acutus,American Crocodile
484003,2013-12-18,"Florida, US",25.3153089427,-80.9415557659,Monroe,Florida,Crocodylus acutus,American Crocodile
523013,2014-02-01,"Everglades National Park, Monroe County, US-FL, US",25.0602252368,-80.9684855638,Monroe,Florida,Crocodylus acutus,American Crocodile
523014,2014-02-01,"Everglades National Park, Monroe County, US-FL, US",25.1758995395,-80.9210874111,Monroe,Florida,Crocodylus acutus,American Crocodile
571130,2014-03-12,"Everglades National Park, Monroe County, US-FL, US",25.1556748486,-80.8115078914,Monroe,Florida,Crocodylus acutus,American Crocodile
1100043,2014-11-09,"Florida, US",25.3746910967,-80.9785437853,Monroe,Florida,Crocodylus acutus,American Crocodile
1229012,2015-01-18,"Everglades National Park, Monroe County, US-FL, US",25.0679460888,-80.812466488,Monroe,Florida,Crocodylus acutus,American Crocodile
