id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
416664,2012-01-22,"Florida, US",25.7487936245,-80.73642201,Miami-Dade,Florida,Python bivittatus,Burmese Python
515110,2014-01-26,"Florida, US",25.2520249222,-80.5090094966,Miami-Dade,Florida,Python bivittatus,Burmese Python
553763,2014-03-02,"Florida, US",25.8568259536,-80.7421862345,Miami-Dade,Florida,Python bivittatus,Burmese Python
1842481,2015-08-06,Big Cypress National Preserve,25.785549,-81.00769,Monroe,Florida,Python bivittatus,Burmese Python
2585187,2015-11-04,"Everglades National Park, Everglades, FL, US",25.212945,-80.855131,Miami-Dade,Florida,Python bivittatus,Burmese Python
3845782,2016-07-25,"Miami-Dade County, FL, USA",25.7619056667,-80.6792526111,Miami-Dade,Florida,Python bivittatus,Burmese Python
4120453,2016-09-15,"Florida, US",25.8285473552,-80.8885674972,Collier,Florida,Python bivittatus,Burmese Python
4619755,2007-02-07,"Miami-Dade County, FL, USA",25.4976037832,-80.771420002,Miami-Dade,Florida,Python bivittatus,Burmese Python
4619843,2009-02-20,"Everglades National Park, Miami-Dade County, Fl, USA",25.5733514113,-80.7591301203,Miami-Dade,Florida,Python bivittatus,Burmese Python
5198122,2017-02-28,"54400 South Dixie Highway Key Largo, FL 33037",25.26667343,-80.44011658,Miami-Dade,Florida,Python bivittatus,Burmese Python
5419079,2017-03-13,"Everglades National Park, Homestead, FL, US",25.4028142865,-80.6153291182,Miami-Dade,Florida,Python bivittatus,Burmese Python
6002777,2017-04-28,"Florida, US",26.1091260729,-80.5347888103,Broward,Florida,Python bivittatus,Burmese Python
6353174,2015-11-07,"17922–18454 SW 8th St, Miami, FL, US",25.7609088758,-80.4856027848,Miami-Dade,Florida,Python bivittatus,Burmese Python
6353199,2016-07-21,"10000–10100 SW 177th Ave, Miami, FL, US",25.6699856534,-80.4812236615,Miami-Dade,Florida,Python bivittatus,Burmese Python
6426091,2014-12-07,"Card Sound Rd, Homestead, FL, US",25.3633417341,-80.4280818194,Miami-Dade,Florida,Python bivittatus,Burmese Python
7054721,2017-07-13,"Miami-Dade County, FL, USA",25.2318598821,-80.8229827881,Miami-Dade,Florida,Python bivittatus,Burmese Python
7107820,2017-07-14,"35197–35269 SW 8th St, Miami, FL, US",25.7620383333,-80.8028116667,Miami-Dade,Florida,Python bivittatus,Burmese Python
7394608,2016-10-17,"Everglades National Park, Everglades, FL, US",25.7476716667,-80.7669666667,Miami-Dade,Florida,Python bivittatus,Burmese Python
7617670,2017-03-11,"1493–1499 Merrihue Dr, Naples, FL, US",26.1671259906,-81.7877103014,Collier,Florida,Python bivittatus,Burmese Python
8588506,2017-06-12,"Miami-Dade County, FL, USA",25.9514351209,-80.4320240021,Miami-Dade,Florida,Python bivittatus,Burmese Python
9341560,2016-06-07,"Big Cypress, FL, USA",25.8603941526,-81.0682396166,Collier,Florida,Python bivittatus,Burmese Python
9341561,2016-06-08,"Big Cypress, FL, USA",25.8574760511,-81.039634858,Collier,Florida,Python bivittatus,Burmese Python
9341562,2016-06-08,"Miami-Dade County, FL, USA",25.7609477468,-80.6682917057,Miami-Dade,Florida,Python bivittatus,Burmese Python
9341563,2016-06-09,"Miami-Dade County, FL, USA",25.7609477846,-80.6618772238,Miami-Dade,Florida,Python bivittatus,Burmese Python
9440357,2018-01-10,"Everglades National Park, Homestead, FL, US",25.3843166667,-80.80832,Miami-Dade,Florida,Python bivittatus,Burmese Python
9841679,2018-01-30,"SW 97th Ave, Homestead, FL 33032, USA",25.5184726715,-80.34715271,Miami-Dade,Florida,Python bivittatus,Burmese Python
9904052,2016-02-27,"Miami-Dade County, FL, USA",25.2997824578,-80.7989501953,Miami-Dade,Florida,Python bivittatus,Burmese Python
11208371,2018-04-19,"Homestead, FL  33030, Homestead, FL, US",25.4224083333,-80.5895783333,Miami-Dade,Florida,Python bivittatus,Burmese Python
11406376,2009-03-29,"Miami-Dade County, FL, USA",25.5516034,-80.6326916,Miami-Dade,Florida,Python bivittatus,Burmese Python
13132131,2018-05-26,"Hillsborough County, FL, USA",28.0746854597,-82.3744484034,Hillsborough,Florida,Python bivittatus,Burmese Python
13190876,2009-03-18,"Miami-Dade County, FL, USA",25.408416,-80.48163,Miami-Dade,Florida,Python bivittatus,Burmese Python
13884389,2017-08-04,"Everglades National Park, US-FL, US",25.2883068429,-80.6554383438,Miami-Dade,Florida,Python bivittatus,Burmese Python
14175230,2018-06-27,"Broward County, US-FL, US",25.971472,-80.431944,Broward,Florida,Python bivittatus,Burmese Python
14517752,2006-12-13,"Homestead, FL 33030, USA",25.3823998,-80.6064611,Miami-Dade,Florida,Python bivittatus,Burmese Python
