id,observed_on,place_guess,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name
328362,2013-03-23,"Miami-Dade County, Florida",25.373809,-80.47863,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
553742,2014-03-01,"Florida, US",25.3097996016,-80.5301695153,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
2635238,2015-09-18,"SW 424th St, Homestead, FL, US",25.3724833333,-80.4833666667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
2635245,2015-09-10,"18584 SW 424th St, Homestead, FL, US",25.3747033333,-80.4636383333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
5788291,2017-04-17,"Navy Wells Park, Homestead, FL, US",25.4366593715,-80.5054237415,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
10369035,2018-03-20,"Miami-Dade County, FL, USA",25.406963607,-80.5228295177,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
13250411,2010-03-28,"Miami-Dade County, FL, USA",25.435111,-80.47701,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
14321101,2018-07-13,"20901–21099 SW 392nd St, Homestead, FL, US",25.4037283333,-80.5304116667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
14394734,2018-07-15,"818 Pennsylvania Ave, Altamonte Springs, FL, US",28.6509242486,-81.3631854049,Seminole,Florida,Salvator merianae,Argentine Black-and-white Tegu
16131637,2017-04-19,"1501 Weedon Dr NE, St. Petersburg, FL 33702, USA",27.8547903532,-82.6117389277,Pinellas,Florida,Salvator merianae,Argentine Black-and-white Tegu
22680459,2019-04-18,"37500–37998 SW 217th Ave, Homestead, FL, US",25.4190033333,-80.5417716667,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
24895766,2019-05-10,"20869 SW 392nd St, Homestead, FL 33034, USA",25.4037380219,-80.5301971436,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
25424785,2019-05-10,"30607–31399 SW 392nd St, Homestead, FL, US",25.4037216667,-80.5302583333,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
30570623,2018-05-01,"33500 SW 192nd Ave, Homestead, FL, US",25.4557753577,-80.5018701868,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
33562989,2019-09-28,"Florida, US",25.6899492148,-80.3041247938,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
35315497,2013-06-08,"Miami-Dade County, FL, USA",25.4433193751,-80.5015445888,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
37576623,2020-01-13,"Miami-Dade County, FL, USA",25.4471606587,-80.5025125897,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
37593739,2020-01-14,"Miami-Dade County, FL, USA",25.4471650309,-80.5022849123,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
39623142,2020-03-06,"Short Key, Homestead, FL, US",25.452895978,-80.4587728059,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
39803194,2020-03-10,"Short Key, Homestead, FL, US",25.42682167,-80.50170833,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
40041262,2020-03-15,"Isla Dorada, Miami, FL, US",25.6272111195,-80.3948126821,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
41120163,2015-08-14,"Miami-Dade County, FL, USA",25.3913684944,-80.5053478088,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
41772517,2020-03-16,"SW 232nd Ave, Homestead, FL, US",25.3842256479,-80.5657037394,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
47297525,2020-04-11,"Everglades National Park, Homestead, FL, US",25.3829516348,-80.5937735511,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
48949439,2020-06-08,"Isla Dorada, Miami, FL, US",25.67348667,-80.40686167,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
52312783,2020-07-07,"Everglades National Park, Homestead, FL, US",25.4118881312,-80.6476404177,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
56236509,2020-08-12,"Short Key, Homestead, FL, US",25.45578833,-80.50212833,Miami-Dade,Florida,Salvator merianae,Argentine Black-and-white Tegu
