common_name,observed_on,latitude,longitude,place_county_name,place_state_name,year,month,month_name
American Crocodile,2009-05-14,25.177188,-80.922653,Monroe,Florida,2009,5,May
American Crocodile,2011-01-30,25.11821,-80.944906,Monroe,Florida,2011,1,Jan
American Crocodile,2008-02-14,25.03177,-80.986856,Monroe,Florida,2008,2,Feb
American Crocodile,2008-04-08,25.05226,-80.855483,Monroe,Florida,2008,4,Apr
American Crocodile,2008-04-08,25.163806,-80.825625,Monroe,Florida,2008,4,Apr
American Crocodile,2008-04-08,25.185687,-80.824784,Monroe,Florida,2008,4,Apr
American Crocodile,2011-12-20,25.061637,-80.907437,Monroe,Florida,2011,12,Dec
American Crocodile,2010-11-12,25.008809,-80.826046,Monroe,Florida,2010,11,Nov
American Crocodile,2008-11-01,25.099282,-80.959888,Monroe,Florida,2008,11,Nov
American Crocodile,2012-11-27,25.210856,-80.869034,Monroe,Florida,2012,11,Nov
American Crocodile,2012-12-27,25.070898,-80.913355,Monroe,Florida,2012,12,Dec
American Crocodile,2013-03-24,25.124528,-80.968611,Monroe,Florida,2013,3,Mar
American Crocodile,2013-04-11,25.081541,-80.838233,Monroe,Florida,2013,4,Apr
American Crocodile,2013-04-12,25.125108,-80.857986,Monroe,Florida,2013,4,Apr
American Crocodile,2013-07-19,25.231103,-80.990721,Monroe,Florida,2013,7,Jul
American Crocodile,2008-01-03,25.156079,-80.894731,Monroe,Florida,2008,1,Jan
American Crocodile,2004-02-21,25.199435,-80.995105,Monroe,Florida,2004,2,Feb
American Crocodile,2013-10-26,25.290796,-80.8577,Monroe,Florida,2013,10,Oct
American Crocodile,2013-11-03,25.6205,-80.371148,Miami-Dade,Florida,2013,11,Nov
American Crocodile,2013-12-18,25.315309,-80.941556,Monroe,Florida,2013,12,Dec
American Crocodile,2014-02-01,25.060225,-80.968486,Monroe,Florida,2014,2,Feb
American Crocodile,2014-02-01,25.1759,-80.921087,Monroe,Florida,2014,2,Feb
American Crocodile,2014-03-12,25.155675,-80.811508,Monroe,Florida,2014,3,Mar
American Crocodile,2014-11-09,25.374691,-80.978544,Monroe,Florida,2014,11,Nov
American Crocodile,2015-01-18,25.067946,-80.812466,Monroe,Florida,2015,1,Jan
American Crocodile,2014-03-17,25.250226,-80.876324,Monroe,Florida,2014,3,Mar
American Crocodile,2015-02-20,25.003125,-80.872873,Monroe,Florida,2015,2,Feb
American Crocodile,2015-03-12,25.152007,-80.896209,Monroe,Florida,2015,3,Mar
American Crocodile,2015-03-13,25.315016,-80.71167,Miami-Dade,Florida,2015,3,Mar
American Crocodile,2015-03-12,25.027593,-80.926385,Monroe,Florida,2015,3,Mar
American Crocodile,2015-04-25,25.679107,-80.205438,Miami-Dade,Florida,2015,4,Apr
American Crocodile,2015-03-29,25.105197,-80.877747,Monroe,Florida,2015,3,Mar
American Crocodile,2015-06-16,25.65514,-80.140245,Miami-Dade,Florida,2015,6,Jun
American Crocodile,2008-12-14,25.023767,-80.827623,Monroe,Florida,2008,12,Dec
American Crocodile,2011-04-25,25.032949,-80.95862,Monroe,Florida,2011,4,Apr
American Crocodile,2012-12-19,25.078555,-80.914318,Monroe,Florida,2012,12,Dec
American Crocodile,2015-11-21,25.126426,-80.800345,Monroe,Florida,2015,11,Nov
American Crocodile,2015-12-28,25.552717,-80.224094,Miami-Dade,Florida,2015,12,Dec
American Crocodile,2016-01-07,25.081472,-80.888975,Monroe,Florida,2016,1,Jan
American Crocodile,2016-01-07,25.002652,-80.935984,Monroe,Florida,2016,1,Jan
American Crocodile,2016-01-09,25.206575,-80.892653,Monroe,Florida,2016,1,Jan
American Crocodile,2016-01-11,25.014605,-81.069132,Monroe,Florida,2016,1,Jan
American Crocodile,2016-03-22,25.339045,-80.784253,Miami-Dade,Florida,2016,3,Mar
American Crocodile,2016-03-27,25.05272,-80.931101,Monroe,Florida,2016,3,Mar
American Crocodile,2006-03-13,25.757314,-80.099417,Miami-Dade,Florida,2006,3,Mar
American Crocodile,2016-04-04,25.753858,-80.209907,Miami-Dade,Florida,2016,4,Apr
